case_id,issue_type,symptom,topology_note,show_output,expected_fault,osi_layer,concept,severity,expected_next_command,expected_fix
C021,ACL,"Authorized management PC cannot access the router using SSH.","Management network is 192.168.200.0/24.","show access-lists | deny tcp any any eq 22 | matches 12","ACL denies SSH","Layer 4","ACL","High","show access-lists","Permit authorized management SSH traffic before the deny rule."
C022,ACL,"Ping works but application traffic is blocked.","Client should access HTTP server on TCP port 80.","show access-lists | deny tcp 192.168.10.0 0.0.0.255 host 192.168.20.10 eq 80","ACL blocks HTTP","Layer 4","ACL","Medium","show access-lists","Modify ACL to permit required HTTP traffic."
C023,ACL,"Users from the finance network cannot reach the shared server.","Finance network is 192.168.30.0/24 and server is 192.168.40.10.","show access-lists | deny ip 192.168.30.0 0.0.0.255 host 192.168.40.10","ACL incorrectly denies finance traffic","Layer 3","ACL","High","show access-lists","Correct or remove the incorrect deny rule."
C024,NAT,"Inside PC can reach the router but cannot access the Internet.","Router connects inside LAN 192.168.10.0/24 to ISP.","show ip nat translations | Pro Inside global: none | Pro Inside local: none","NAT translation not occurring","Layer 3","NAT","High","show ip nat translations","Verify NAT configuration, inside/outside interfaces and ACL."
C025,NAT,"Internet access fails for all internal clients.","Inside network is 192.168.20.0/24.","show running-config | ip nat inside source list 10 interface GigabitEthernet0/0 overload | access-list 10 permit 192.168.30.0 0.0.0.255","NAT ACL does not match inside network","Layer 3","NAT","High","show access-lists","Correct the NAT ACL to permit the actual inside subnet."
C026,NAT,"Some internal hosts have Internet access but new subnet hosts do not.","Router performs PAT for multiple internal networks.","show access-lists | 20 permit 192.168.10.0 0.0.0.255 | 192.168.20.0/24 missing","NAT ACL missing subnet","Layer 3","NAT","Medium","show access-lists","Add the required internal subnet to the NAT ACL."
C027,Wireless,"Wireless client associates with the access point but cannot reach the gateway.","AP serves VLAN 50 and wired switch trunk carries VLAN 50.","show interfaces trunk | Allowed VLANs: 10,20,30 | VLAN 50 missing","Wireless VLAN not allowed on trunk","Layer 2","Wireless/VLAN","High","show interfaces trunk","Allow VLAN 50 on the AP trunk."
C028,Wireless,"Wireless client connects to SSID but receives no IP address.","Wireless clients should obtain DHCP addresses from VLAN 60.","show vlan brief | VLAN 60 absent","Wireless client VLAN missing","Layer 2","Wireless/VLAN","High","show vlan brief","Create VLAN 60 and configure correct AP/switch VLAN mapping."
C029,Interface,"PC loses connectivity after a switch port configuration change.","PC is connected to FastEthernet0/10.","show ip interface brief | FastEthernet0/10 | administratively down | down","Interface administratively down","Layer 1/2","Interface","High","show ip interface brief","Enable the interface with no shutdown."
C030,Interface,"Router interface is connected but remote network is unreachable.","Router interface GigabitEthernet0/1 should connect to the upstream router.","show ip interface brief | GigabitEthernet0/1 | down | down","Interface is down","Layer 1/2","Interface","High","show ip interface brief","Check physical connection and enable/configure the interface."
C031,Gateway,"PC can reach devices on its subnet but cannot reach the router.","PC network is 172.16.10.0/24.","ipconfig | IP: 172.16.10.50 | Mask: 255.255.255.0 | Gateway: 172.16.11.1","Gateway mismatch","Layer 3","Default Gateway","High","ipconfig","Set the gateway to the router interface in 172.16.10.0/24."
C032,Routing,"Server network is reachable from one router but not from another router.","Three-router topology requires routes between all LANs.","show ip route 10.50.0.0 | % Network not in table","Missing route","Layer 3","Routing","High","show ip route 10.50.0.0","Add the missing route and verify end-to-end connectivity."
